obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,raw_time_microseconds,raw_time_seconds,seawater_temperature,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3772310519,6,33.05189896,3774726854,3774726854,3772310519,0,internal_timestamp,577.9000244,733986,1563321718,5.061399937,3.305189896,34.17063387,1029.685552,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('1',)",3772310520,6,33.05199814,3774726854,3774726854,3772310520,0,internal_timestamp,577.9199829,719102,1563321719,5.061900139,3.305199814,34.17022813,1029.68526,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('2',)",3772310521,6,33.05199814,3774726854,3774726854,3772310521,0,internal_timestamp,577.9000244,714556,1563321720,5.061999798,3.305199814,34.1701366,1029.685083,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('3',)",3772310522,6,33.05220032,3774726854,3774726854,3772310522,0,internal_timestamp,577.9099731,720221,1563321721,5.061900139,3.305220032,34.17046534,1029.685401,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('4',)",3772310523,6,33.05220032,3774726854,3774726854,3772310523,0,internal_timestamp,577.9400024,715312,1563321722,5.062399864,3.305220032,34.16994114,1029.685061,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('5',)",3772310524,6,33.0522995,3774726854,3774726854,3772310524,0,internal_timestamp,577.960022,720169,1563321723,5.062300205,3.30522995,34.17014654,1029.685328,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('6',)",3772310525,6,33.05250168,3774726854,3774726854,3772310525,0,internal_timestamp,577.9199829,726128,1563321724,5.062300205,3.305250168,34.17039881,1029.685343,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('7',)",3772310526,6,33.05250168,3774726854,3774726854,3772310526,0,internal_timestamp,577.9400024,721082,1563321725,5.061800003,3.305250168,34.17089841,1029.685893,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('8',)",3772310527,6,33.0522995,3774726854,3774726854,3772310527,0,internal_timestamp,577.9199829,715910,1563321726,5.061699867,3.30522995,34.17077828,1029.685719,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('9',)",3772310528,6,33.05239868,3774726854,3774726854,3772310528,0,internal_timestamp,577.8800049,721182,1563321727,5.062900066,3.305239868,34.1696894,1029.684523,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('10',)",3772310529,6,33.05220032,3774726854,3774726854,3772310529,0,internal_timestamp,577.9099731,716126,1563321728,5.062799931,3.305220032,34.1695486,1029.684562,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('11',)",3772310530,6,33.05199814,3774726854,3774726854,3772310530,0,internal_timestamp,577.8900146,721560,1563321729,5.061600208,3.305199814,34.17054875,1029.685413,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('12',)",3772310531,6,33.05139923,3774726854,3774726854,3772310531,0,internal_timestamp,577.8900146,716783,1563321730,5.060800076,3.305139923,34.17067616,1029.685617,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('13',)",3772310532,6,33.05199814,3774726854,3774726854,3772310532,0,internal_timestamp,577.8699951,722010,1563321731,5.061699867,3.305199814,34.17045725,1029.685236,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('14',)",3772310533,6,33.05179977,3774726854,3774726854,3772310533,0,internal_timestamp,577.8900146,718739,1563321732,5.061600208,3.305179977,34.17032093,1029.685234,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('15',)",3772310534,6,33.05199814,3774726854,3774726854,3772310534,0,internal_timestamp,577.8699951,722367,1563321733,5.061600208,3.305199814,34.17055879,1029.685329,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('16',)",3772310535,6,33.05199814,3774726854,3774726854,3772310535,0,internal_timestamp,577.8400269,717143,1563321734,5.061999798,3.305199814,34.17016668,1029.684831,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('17',)",3772310536,6,33.05179977,3774726854,3774726854,3772310536,0,internal_timestamp,577.8400269,722634,1563321735,5.061299801,3.305179977,34.17065208,1029.685304,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
