obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,raw_time_microseconds,raw_time_seconds,seawater_temperature,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659126446,2,33.21519852,3724598968,3724598968,3659126446,0,internal_timestamp,576.8699951,854037,1450137645,5.282999992,3.321519852,34.13289415,1029.62229,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3659126457,2,33.21440125,3724598968,3724598968,3659126457,0,internal_timestamp,576.539978,852710,1450137656,5.283599854,3.321440125,34.13153993,1029.61963,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3659126468,2,33.2132988,3724598968,3724598968,3659126468,0,internal_timestamp,575.1300049,860409,1450137667,5.282299995,3.32132988,34.13230125,1029.613931,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3659126479,2,33.21289825,3724598968,3724598968,3659126479,0,internal_timestamp,573.5599976,858495,1450137678,5.282100201,3.321289825,34.13282826,1029.607168,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3659126490,2,33.21429825,3724598968,3724598968,3659126490,0,internal_timestamp,571.8200073,856349,1450137689,5.285900116,3.321429825,34.13143984,1029.597592,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3659126501,2,33.21640015,3724598968,3724598968,3659126501,0,internal_timestamp,570.3099976,863928,1450137700,5.289199829,3.321640015,34.13124553,1029.590078,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3659126512,2,33.21979904,3724598968,3724598968,3659126512,0,internal_timestamp,568.6900024,870790,1450137711,5.295100212,3.321979904,34.12994972,1029.58085,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3659126523,2,33.21889877,3724598968,3724598968,3659126523,0,internal_timestamp,566.9299927,866574,1450137722,5.294300079,3.321889877,34.13060975,1029.573399,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('8',)",3659126534,2,33.2234993,3724598968,3724598968,3659126534,0,internal_timestamp,565.3699951,860079,1450137733,5.301599979,3.32234993,34.1292368,1029.564202,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('9',)",3659126545,2,33.22389984,3724598968,3724598968,3659126545,0,internal_timestamp,563.8499756,864407,1450137744,5.302299976,3.322389984,34.12974124,1029.557532,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('10',)",3659126556,2,33.22389984,3724598968,3724598968,3659126556,0,internal_timestamp,562.4400024,870836,1450137755,5.30340004,3.322389984,34.12932824,1029.550592,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('11',)",3659126567,2,33.24160004,3724598968,3724598968,3659126567,0,internal_timestamp,561.0800171,865847,1450137766,5.32889986,3.324160004,34.1243558,1029.537091,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
