obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,seawater_pressure,profiler_timestamp,practical_salinity,suspect_timestamp,seawater_temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3773073027,14,3.532870054,3779218472,3779218544,3773073027,0,internal_timestamp,64.61499786,1564084227,33.74890137,1,8.281599998,1026.547983,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('1',)",3773073027,14,3.532959938,3779218472,3779218544,3773073027,0,internal_timestamp,64.61599731,1564084227,33.74969864,0,8.281700134,1026.548597,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('2',)",3773073027,14,3.532979965,3779218472,3779218544,3773073027,0,internal_timestamp,64.61199951,1564084227,33.75,0,8.281599998,1026.54883,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('3',)",3773073027,14,3.532870054,3779218472,3779218544,3773073027,0,internal_timestamp,64.61499786,1564084227,33.74879837,0,8.281700134,1026.547887,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('4',)",3773073027,14,3.532959938,3779218472,3779218544,3773073027,0,internal_timestamp,64.61599731,1564084227,33.74980164,0,8.281599998,1026.548693,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('5',)",3773073027,14,3.533279896,3779218472,3779218544,3773073027,0,internal_timestamp,64.61100006,1564084227,33.75299835,0,8.281900406,1026.551131,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('6',)",3773073027,14,3.533279896,3779218472,3779218544,3773073027,0,internal_timestamp,64.61499786,1564084227,33.75279999,0,8.282099724,1026.550964,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('7',)",3773073027,14,3.53302002,3779218472,3779218544,3773073027,0,internal_timestamp,64.61199951,1564084227,33.75049973,0,8.281700134,1026.549207,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('8',)",3773073027,14,3.533109903,3779218472,3779218544,3773073027,0,internal_timestamp,64.61599731,1564084227,33.75130081,0,8.28180027,1026.549838,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('9',)",3773073027,14,3.533190012,3779218472,3779218544,3773073027,0,internal_timestamp,64.61599731,1564084227,33.7519989,0,8.281900406,1026.55037,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('10',)",3773073027,14,3.533260107,3779218472,3779218544,3773073027,0,internal_timestamp,64.61100006,1564084227,33.75260162,0,8.282099724,1026.55079,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('11',)",3773073027,14,3.533299923,3779218472,3779218544,3773073027,0,internal_timestamp,64.61499786,1564084227,33.75289917,0,8.282299995,1026.551011,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('12',)",3773073027,14,3.53331995,3779218472,3779218544,3773073027,0,internal_timestamp,64.61000061,1564084227,33.75310135,0,8.282299995,1026.551147,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('13',)",3773073027,14,3.533339977,3779218472,3779218544,3773073027,0,internal_timestamp,64.61000061,1564084227,33.75320053,0,8.282400131,1026.551209,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('14',)",3773073028,14,3.533360004,3779218472,3779218544,3773073028,0,internal_timestamp,64.60700226,1564084228,33.7533989,0,8.282400131,1026.551351,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('15',)",3773073028,14,3.533360004,3779218472,3779218544,3773073028,0,internal_timestamp,64.60700226,1564084228,33.7533989,0,8.282400131,1026.551351,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('16',)",3773073028,14,3.533360004,3779218472,3779218544,3773073028,0,internal_timestamp,64.60900116,1564084228,33.7533989,0,8.282400131,1026.55136,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('17',)",3773073028,14,3.533370018,3779218472,3779218544,3773073028,0,internal_timestamp,64.61000061,1564084228,33.75350189,0,8.282400131,1026.551446,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('18',)",3773073028,14,3.533380032,3779218472,3779218544,3773073028,0,internal_timestamp,64.60600281,1564084228,33.75360107,0,8.282400131,1026.551505,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('19',)",3773073028,14,3.533380032,3779218472,3779218544,3773073028,0,internal_timestamp,64.60600281,1564084228,33.75370026,0,8.282299995,1026.551598,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
