obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,seawater_pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,seawater_temperature,temp_qc_executed,temp_qc_results,time
"('0',)",31.47330093,1,0,1041.123058,29,29,2,3.147330093,29,13,3746541034,3746541034,3660638474,44.52757,-125.38075,0,34.64518763,29,29,internal_timestamp,2928.840088,29,29,279591,1451649674,1.718000054,29,29,3660638474
"('1',)",31.4720993,1,0,1041.111939,29,29,2,3.14720993,29,13,3746541034,3746541034,3660638485,44.52757,-125.38075,0,34.64519179,29,29,internal_timestamp,2926.320068,29,29,283584,1451649685,1.717700005,29,29,3660638485
"('2',)",31.47069931,1,0,1041.099164,29,29,2,3.147069931,29,13,3746541034,3746541034,3660638496,44.52757,-125.38075,0,34.64511843,29,29,internal_timestamp,2923.439941,29,29,299001,1451649696,1.717399955,29,29,3660638496
"('3',)",31.46960068,1,0,1041.08698,29,29,2,3.146960068,29,13,3746541034,3746541034,3660638507,44.52757,-125.38075,0,34.64549866,29,29,internal_timestamp,2920.610107,29,29,286499,1451649707,1.717000008,29,29,3660638507
"('4',)",31.46820068,1,0,1041.074122,29,29,2,3.146820068,29,13,3746541034,3746541034,3660638518,44.52757,-125.38075,0,34.6454351,29,29,internal_timestamp,2917.709961,29,29,288499,1451649718,1.716699958,29,29,3660638518
"('5',)",31.46719933,1,0,1041.067298,29,29,2,3.146719933,29,13,3746541034,3746541034,3660638529,44.52757,-125.38075,0,34.64486889,29,29,internal_timestamp,2916.27002,29,29,290019,1451649729,1.716699958,29,29,3660638529
"('6',)",31.4673996,1,0,1041.067262,29,29,2,3.14673996,29,13,3746541034,3746541034,3660638540,44.52757,-125.38075,0,34.64525827,29,29,internal_timestamp,2916.189941,29,29,292382,1451649740,1.716599941,29,29,3660638540
"('7',)",31.4666996,1,0,1041.060214,29,29,2,3.14666996,29,13,3746541034,3746541034,3660638551,44.52757,-125.38075,0,34.64523775,29,29,internal_timestamp,2914.600098,29,29,294431,1451649751,1.716500044,29,29,3660638551
"('8',)",31.46570015,1,0,1041.049369,29,29,2,3.146570015,29,13,3746541034,3746541034,3660638562,44.52757,-125.38075,0,34.64548227,29,29,internal_timestamp,2912.100098,29,29,296746,1451649762,1.716199994,29,29,3660638562
"('9',)",31.46419907,1,0,1041.036461,29,29,2,3.146419907,29,13,3746541034,3746541034,3660638573,44.52757,-125.38075,0,34.64505472,29,29,internal_timestamp,2909.26001,29,29,289185,1451649773,1.716099977,29,29,3660638573
"('10',)",31.46279907,1,0,1041.024074,29,29,2,3.146279907,29,13,3746541034,3746541034,3660638584,44.52757,-125.38075,0,34.6454089,29,29,internal_timestamp,2906.379883,29,29,291032,1451649784,1.715399981,29,29,3660638584
"('11',)",31.46150017,1,0,1041.011237,29,29,2,3.146150017,29,13,3746541034,3746541034,3660638595,44.52757,-125.38075,0,34.64524399,29,29,internal_timestamp,2903.51001,29,29,293050,1451649795,1.715299964,29,29,3660638595
"('12',)",31.46109962,1,0,1041.006243,29,29,2,3.146109962,29,13,3746541034,3746541034,3660638606,44.52757,-125.38075,0,34.64550935,29,29,internal_timestamp,2902.330078,29,29,295995,1451649806,1.71510005,29,29,3660638606
"('13',)",31.46089935,1,0,1041.005341,29,29,2,3.146089935,29,13,3746541034,3746541034,3660638617,44.52757,-125.38075,0,34.64522625,29,29,internal_timestamp,2902.179932,29,29,304474,1451649817,1.715199947,29,29,3660638617
"('14',)",31.46030045,1,0,1040.997712,29,29,2,3.146030045,29,13,3746541034,3746541034,3660638628,44.52757,-125.38075,0,34.64552498,29,29,internal_timestamp,2900.399902,29,29,299422,1451649828,1.715000033,29,29,3660638628
"('15',)",31.45919991,1,0,1040.986293,29,29,2,3.145919991,29,13,3746541034,3746541034,3660638639,44.52757,-125.38075,0,34.64522983,29,29,internal_timestamp,2897.879883,29,29,299134,1451649839,1.71510005,29,29,3660638639
"('16',)",31.45779991,1,0,1040.974028,29,29,2,3.145779991,29,13,3746541034,3746541034,3660638650,44.52757,-125.38075,0,34.64557123,29,29,internal_timestamp,2895.030029,29,29,305222,1451649850,1.714400053,29,29,3660638650
"('17',)",31.4564991,1,0,1040.961438,29,29,2,3.14564991,29,13,3746541034,3746541034,3660638661,44.52757,-125.38075,0,34.64514146,29,29,internal_timestamp,2892.27002,29,29,302624,1451649861,1.71449995,29,29,3660638661
